Clover ID,Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
ZYWRBPD863QX8,Airheads Strawberry,6.99,Per unit,36,DEFAULT,0,,73390001193,,3,,No,No
WW1JNAAE1MDWT,Sugar Daddy/48 Ct,9.95,Per unit,48,DEFAULT,0,,14200302208,,4,,No,No
NEWRHZTBF8FQT,Sugar Daddy Pops/24ct,24.95,Per unit,24,DEFAULT,0,,14200332106,,5,,No,No
Z6D8338H7DSQ0,Yummy Pops,5.95,Per unit,140,DEFAULT,0,,11212003185,,14,,No,No
S3W4RV4624VMC,Necco The Original Candy Waffers,24.95,Per unit,24,DEFAULT,0,,30800901009,,10,,No,No
M22HDMQM7683J,Necco The Original Chocolate Waffers,24.95,Per unit,24,DEFAULT,0,,30800911008,,10,,No,No
94BQ4DA50C8G4,Indian Salted Pumpin Seeds,10.95,Per unit,36,DEFAULT,0,,75142001307,,11,,No,No
BT14V3D9ZMHC4,Edible Satellite Wafers,19.95,Per unit,240,DEFAULT,0,,86232321007,,32,,No,No
7JHEB15AG89ZM,King Size Candy Stix,7.95,Per unit,24,DEFAULT,0,,41396090978,,17,,No,No
T69R1JKV96Y4W,Rock Candy Crystal Sticks,45.95,Per unit,60,DEFAULT,0,,11167042505,,1,,No,No
7X0M94PEQQFAG,Saf T Pops 100ct,12.95,Fixed,,DEFAULT,0,,30800000771,,8,,No,No
55MB6011E9RRG,Machine Size Gumballs/16oz,3.99,Fixed,,DEFAULT,0,,,,9,,No,No
BTP8N1HMQC1AA,Machine Size Gumballs/28oz,5.99,Fixed,,DEFAULT,0,,,,9,,No,No
SHE72N253PWBR,Big Bubble Gumballs/16oz,3.99,Fixed,,DEFAULT,0,,,,18,,No,No
6QGXY0XSPCCEY,Seedlings Gumballs,3.99,Fixed,,DEFAULT,0,,,,14,,No,No
YX4JMF6CMPWC8,Wonka Nerd Gumballs/12oz,2.59,Fixed,,DEFAULT,0,,,,15,,No,No
JVN4EWJCNKAX0,Cry Baby Sour Gum/3oz,1.99,Fixed,,DEFAULT,0,,,,18,,No,No
M91YK2D4YBHMM,Dubble Bubble Gum/7oz,2.49,Fixed,,DEFAULT,0,,,,20,,No,No
NM0ZFFFF7BB1A,Chickles Gum/12oz,2.99,Fixed,,DEFAULT,0,,,,25,,No,No
XXW6J19PRJSYY,Giant Tennis Balls Sour Gum/10oz,2.99,Fixed,,DEFAULT,0,,,,2,,No,No
NJZD4CMST04E6,Original Bazooka Bubble Gum/8oz,1.99,Fixed,,DEFAULT,0,,,,25,,No,No
D7NS7NTCYSVBC,Candy Stix/3oz,1.99,Fixed,,DEFAULT,0,,,,18,,No,No
WQ31A9BEZSPP4,Liquid Filled Wax Bottles,2.25,Fixed,,DEFAULT,0,,,,15,,No,No
ECCVKM8WQXSDA,Liquid Filled Wax Tubes,2.25,Fixed,,DEFAULT,0,,,,14,,No,No
0AYB4ATPYZXWT,Red Swedish Fish/1.6lbs,7.95,Fixed,,DEFAULT,0,,,,10,,No,No
9BPF4ZT4SE3WT,Sour Patch Kids/1.6lbs,7.95,Fixed,,DEFAULT,0,,,,8,,No,No
7N0XDDCK097R4,Sour Patch Watermelon/1.6lbs,7.95,Fixed,,DEFAULT,0,,,,9,,No,No
7TE52X169018R,Sour Cherries/1.6lbs,7.95,Fixed,,DEFAULT,0,,,,10,,No,No
0J6M7ZBJ78XX2,Sour Apples/1.6lbs,7.95,Fixed,,DEFAULT,0,,,,11,,No,No
04CXYA04HMNFE,Assorted Swedish Fish/1.6lbs,7.95,Fixed,,DEFAULT,0,,,,9,,No,No
VZKMHTD147WZT,Assorted Chupa Chups /7oz,2.25,Fixed,,DEFAULT,0,,,,24,,No,No
C3HF3ZEDW731T,Assorted Safe T Pops/20ct,2.99,Fixed,,DEFAULT,0,,,,15,,No,No
44G2ZBQTWJDSR,Charms Sweet Pops/15ct,2.99,Fixed,,DEFAULT,0,,,,13,,No,No
9D1F7NSJX0KYP,Charms Sweet And Sour Pops/15ct,2.99,Fixed,,DEFAULT,0,,,,12,,No,No
Y186DSXP2H07A,Caramel Apple Pops/15ct,2.99,Fixed,,DEFAULT,0,,,,14,,No,No
6BNEARZX6T4FC,Assorted Blow Pops,2.49,Fixed,,DEFAULT,0,,,,16,,No,No
DZDKN0QE2JKHE,Sugar Daddy Pops,2.99,Fixed,,DEFAULT,0,,,,15,,No,No
HRBAP7T7M8FS8,Miniature Tootsie Pops/30ct,1.99,Fixed,,DEFAULT,0,,,,21,,No,No
ZFR6QA06NV6NJ,Tootsie Pops/15ct,2.95,Fixed,,DEFAULT,0,,,,20,,No,No
NYN24YYHEN2TY,Soft Mint Candy/1.5lbs,5.95,Fixed,,DEFAULT,0,,,,4,,No,No
3189TTP8NFN12,Fruity Soft Puffs/1.5lbs,5.95,Fixed,,DEFAULT,0,,,,3,,No,No
XX715HX3E5B8G,Assorted Hard Mix/3lbs,9.95,Fixed,,DEFAULT,0,,2.38E+11,,1,,No,No
15N7VKFNZNRMC,Apple Sour Laces/2lbs,10.95,Fixed,,DEFAULT,0,,2.39E+11,,3,Test,No,No
MW75GPKJFTVP4,Blue Raspberry Sour Laces/2lbs,10.95,Fixed,,DEFAULT,0,,,,5,,No,No
31F91F2B1MK88,Strawberry Sour Laces/2lbs,10.95,Fixed,,DEFAULT,0,,,,7,,No,No
07327G45SV0BW,Grape Laces/2lbs,10.95,Fixed,,DEFAULT,0,,,,8,,No,No
QGTB4PQ8DR5CY,Strawberry Laces/2lbs,10.95,Fixed,,DEFAULT,0,,,,6,,No,No
4ZG8C52H9EKSG,Rainbow Laces/2lbs,10.95,Fixed,,DEFAULT,0,,,,4,,No,No
QQFJZP7SPRX2T,Licorice Laces/2lbs,10.95,Fixed,,DEFAULT,0,,,,9,,No,No
0SNDXVMGQDDW4,Mike & Ike/4.5lbs,15.95,Fixed,,DEFAULT,0,,,,6,,No,No
798RFGPW9B11G,Hot Tamales/4.5lbs,15.95,Fixed,,DEFAULT,0,,,,5,,No,No
6XJPBRP4ZZYRA,Boston Baked Beans/4.5lbs,15.95,Fixed,,DEFAULT,0,,,,3,,No,No
YPEN3RKDHNQRJ,Smarties/24ct,19.95,Fixed,,DEFAULT,0,,11206519005,,12,,No,No
WM8S03RXJDQBE,Charms Sweet & Sour Pops/48ct,8.95,Fixed,,DEFAULT,0,,14200337088,,1,,No,No
