"name","clName","price","SKU","bcSKU","category","description","price_type","cost","tax_rates","quantity","clover_ID",
"Coffee Candy (Sugar Free) [Size=12 oz.]",,"5.95","433-12","433-12","Sugar Free",,"Fixed",,"DEFAULT",,,
"Cherry Candy (Sugar Free) [Size=7 oz.]",,"2.95","434-7O","434-7O","Sugar Free",,"Fixed",,"DEFAULT",,,
"Cherry Candy (Sugar Free) [Size=12 oz.]",,"5.95","434-12","434-12","Sugar Free",,"Fixed",,"DEFAULT",,,
"Butterscotch Candy (Sugar Free) [Size=7 oz.]",,"2.95","435-7O","435-7O","Sugar Free",,"Fixed",,"DEFAULT",,,
"Butterscotch Candy (Sugar Free) [Size=12 oz.]",,"5.95","435-12","435-12","Sugar Free",,"Fixed",,"DEFAULT",,,
"Assorted Fruit Candy (Sugar Free) [Size=7 oz.]",,"2.95","436-7O","436-7O","Sugar Free",,"Fixed",,"DEFAULT",,,
"Assorted Fruit Candy (Sugar Free) [Size=12 oz.]",,"5.95","436-12","436-12","Sugar Free",,"Fixed",,"DEFAULT",,,
"Bubble Gum (Sugar Free)",,"5.95","437-8484","437-8484","Sugar Free",,"Fixed",,"DEFAULT",,,
"Fudge Rolls (Sugar Free)",,"3.49","438-3402","438-3402","Sugar Free",,"Fixed",,"DEFAULT",,,
"Chewy Caramel (Sugar Free)",,"3.95","439-7210","439-7210","Sugar Free",,"Fixed",,"DEFAULT",,,
"Finnska Licorice (Sugar Free)",,"3.99","440-8163","440-8163","Sugar Free",,"Fixed",,"DEFAULT",,,
"Licorice Bears (Sugar Free)",,"3.99","441-5895","441-5895","Sugar Free",,"Fixed",,"DEFAULT",,,
"Assorted Toffee (Sugar Free)",,"3.49","442-5688","442-5688","Sugar Free",,"Fixed",,"DEFAULT",,,
"Fruit Slices (Sugar Free)",,"6.95","443-5902","443-5902","Sugar Free",,"Fixed",,"DEFAULT",,,
"Fruit Chews (Sugar Free)",,"3.49","444-5911","444-5911","Sugar Free",,"Fixed",,"DEFAULT",,,
"Chick-O-Stick Bites (Sugar Free)",,"3.49","445-6126","445-6126","Sugar Free",,"Fixed",,"DEFAULT",,,
"Chocolate Bridge Mix (Sugar Free)",,"5.95","446-6643","446-6643","Sugar Free",,"Fixed",,"DEFAULT",,,
"P'Nut Butter Bars (Sugar Free)",,"3.49","447-4366","447-4366","Sugar Free",,"Fixed",,"DEFAULT",,,
"Chocolate Espresso Beans (Sugar Free)",,"6.95","448-5511","448-5511","Sugar Free",,"Fixed",,"DEFAULT",,,
"Chocolate Covered Cashew (Sugar Free)",,"6.95","449-8662","449-8662","Sugar Free",,"Fixed",,"DEFAULT",,,
"Chocolate Pretzels (Sugar Free)",,"6.95","450-4648","450-4648","Sugar Free",,"Fixed",,"DEFAULT",,,
"Malted Milk Balls (Sugar Free)",,"4.95","451-8681","451-8681","Sugar Free",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Raisins (Sugar Free)",,"4.95","452-8419","452-8419","Sugar Free",,"Fixed",,"DEFAULT",,,
"Milk Chocolate Almonds (Sugar Free)",,"5.95","453-6052","453-6052","Sugar Free",,"Fixed",,"DEFAULT",,,
"Chocolate Covered Peanuts (Sugar Free)",,"4.95","ccp-sf","ccp-sf","Sugar Free",,"Fixed",,"DEFAULT",,,
"Roasted Hulled Sunflower Seeds [Flavor=Salted]",,"2.49","455-SA","455-SA","Nuts & Fruit;Nuts & Fruit/Seeds",,"Fixed",,"DEFAULT",,,
"Roasted Hulled Sunflower Seeds [Flavor=Un-Salted]",,"2.49","455-UN","455-UN","Nuts & Fruit;Nuts & Fruit/Seeds",,"Fixed",,"DEFAULT",,,
"Mango Slices",,"2.99","456-1490","456-1490","Nuts & Fruit;Nuts & Fruit/Fruit",,"Fixed",,"DEFAULT",,,
"Crystalized Ginger",,"2.99","457-998","457-998","Nuts & Fruit;Nuts & Fruit/Fruit",,"Fixed",,"DEFAULT",,,
"Mixed Fruit",,"5.95","458-930","458-930","Nuts & Fruit;Nuts & Fruit/Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Natural Raw Hulled Sunflower Seeds",,"2.49","459-5571","459-5571","Nuts & Fruit;Nuts & Fruit/Seeds",,"Fixed",,"DEFAULT",,,
"Diced Fruit Mix",,"3.95","460-2793","460-2793","Nuts & Fruit;Nuts & Fruit/Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Dried Cranberries",,"2.95","461-5106","461-5106","Nuts & Fruit;Nuts & Fruit/Fruit",,"Fixed",,"DEFAULT",,,
"Triple Treat Cranberries",,"3.99","462-6933","462-6933","Chocolate",,"Fixed",,"DEFAULT",,,
"Honey Sesame Crunch",,"3.99","463-2740","463-2740","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"California Fruit Mix",,"2.99","464-8441","464-8441","Nuts & Fruit;Nuts & Fruit/Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Peanut Crunch",,"4.95","465-70","465-70","Nuts & Fruit;Nuts & Fruit/Nuts;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Yogurt Raisins",,"3.99","466-3327","466-3327","Chocolate;Nuts & Fruit",,"Fixed",,"DEFAULT",,,
"Pineapple Rings",,"3.99","467-5235","467-5235","Nuts & Fruit;Nuts & Fruit/Fruit",,"Fixed",,"DEFAULT",,,
"Hot & Spicy Wasabi Peas",,"2.49","468-8338","468-8338","Nuts & Fruit;Nuts & Fruit/Nuts;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Banana Chips",,"2.49","469-8463","469-8463","Nuts & Fruit;Nuts & Fruit/Fruit",,"Fixed",,"DEFAULT",,,
"Cinnamon Apple Chips",,"2.99","470-7800","470-7800","Nuts & Fruit;Nuts & Fruit/Fruit",,"Fixed",,"DEFAULT",,,
"Salad Toppings",,"3.99","471-2151","471-2151","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Circus Snack Mix",,"2.99","472-3489","472-3489","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Hot Cajun Mix",,"2.99","473-6202","473-6202","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Papaya Spears",,"2.49","474-6168","474-6168","Nuts & Fruit;Nuts & Fruit/Fruit",,"Fixed",,"DEFAULT",,,
"Sun Dried Apricots",,"3.95","475-8333","475-8333","Nuts & Fruit;Nuts & Fruit/Fruit",,"Fixed",,"DEFAULT",,,
"Touchdown Deluxe Mix",,"3.99","476-3114","476-3114","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Hot & Spicy Wasabi Peanuts",,"1.99","477-5919","477-5919","Nuts & Fruit;Nuts & Fruit/Nuts;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Sizzling Hot Mix",,"2.99","478-2938","478-2938","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Garlic Sesame Sticks",,"2.99","479-5628","479-5628","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Salted Sesame Sticks",,"2.99","480-3195","480-3195","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Yogurt Pretzels",,"3.99","481-3903","481-3903","Chocolate;Nuts & Fruit",,"Fixed",,"DEFAULT",,,
"Yogurt Malted Milk Balls",,"3.95","482-2567","482-2567","Chocolate",,"Fixed",,"DEFAULT",,,
"Honey Sesame Sticks",,"2.99","483-5615","483-5615","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Yogurt Peanuts",,"3.99","484-841","484-841","Chocolate",,"Fixed",,"DEFAULT",,,
"Brazil Nuts",,"7.95","485-4065","485-4065","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Pignolias Pine Nut",,"12.95","486-6387","486-6387","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Munchee Mix",,"4.95","487-3304","487-3304","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
"Shelled Pistachios",,"10.95","488-4741","488-4741","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Natural Hazelnuts",,"5.95","489-6082","489-6082","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"California Walnut Pieces",,"6.95","490-5419","490-5419","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Imported Pistachios [Size=0.5 lb.]",,"8.99","491-05","491-05","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Imported Pistachios [Size=5 lb.]",,"69.95","491-5L","491-5L","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"California Pistachios [Flavor=Salted]",,"8.95","494-SA","494-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"California Pistachios [Flavor=Un-Salted]",,"8.95","494-UN","494-UN","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Natural Almonds",,"7.99","495-1447","495-1447","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Hickory Smoked Almonds",,"6.95","496-8448","496-8448","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Honey Berry Crunch Mix",,"3.99","497-5187","497-5187","Nuts & Fruit;Nuts & Fruit/Mixes",,"Fixed",,"DEFAULT",,,
